geometry,pipeline,q,standardize,classifier,cv_accuracy,cv_acc_std,cv_precision,cv_recall,cv_auc,cv_runtime_s,ho_accuracy,ho_precision,ho_recall,ho_auc,ho_runtime_s
LOGE,C-UMAP,20.0,True,knn,0.919125290704238,0.008055654460856612,0.9249706817044479,0.9190909090909092,0.9760386050797205,137.20789980888367,0.9389901823281908,0.9406000955198941,0.938981948284274,0.9824682047694643,30.76335310935974
LOGE,A-Full,,False,lr,0.9714353451195556,0.008241385890757201,0.9718677122351483,0.9714207650273223,0.9990445538768036,19.96153426170349,0.9782608695652174,0.9783450186531034,0.978218680544262,0.9994170705750574,5.584759712219238
LOGE,A-Full,,True,lr,0.9876718824087245,0.004699805299632753,0.9879553284534562,0.987665176353701,0.999807797724299,19.50645875930786,0.9929873772791024,0.9930600512141109,0.992985309264379,0.9999589652806602,6.239115953445435
LOGE,B-PCA,5.0,False,lr,0.684604303551672,0.012276190869047795,0.6805822505933428,0.684535519125683,0.9499405994453488,15.926063776016235,0.708976157082749,0.7061685865663171,0.7089499647639183,0.9512035406143308,5.2766711711883545
LOGE,B-PCA,5.0,True,lr,0.6476330465804149,0.015845713167562805,0.6419937592252265,0.6475211127670144,0.9443602301460133,18.9063560962677,0.6339410939691444,0.6281202136205871,0.6341681574239714,0.9408504326825078,5.280312538146973
LOGE,B-PCA,10.0,False,lr,0.8508767414030572,0.008800635607248817,0.8520801538237166,0.850809736711376,0.9860822029362772,17.68398427963257,0.8632538569424965,0.8631568588324214,0.8631267956849352,0.9876701327949512,5.9396653175354
LOGE,B-PCA,10.0,True,lr,0.8193041161462213,0.014382933417365986,0.8208419066129057,0.8192399403874813,0.9828426186050955,25.174082279205322,0.8267882187938289,0.8295063516200901,0.8268986827126362,0.9837903254245304,5.7410888671875
LOGE,B-PCA,20.0,False,lr,0.9167179209284473,0.01284378173057834,0.917461419617136,0.9166865375062097,0.9940644355150623,19.202112674713135,0.9137447405329593,0.9146890107820624,0.9136499159754973,0.9954022016199268,5.526412725448608
LOGE,B-PCA,20.0,True,lr,0.9230319040845357,0.007000196415012111,0.9237615829049058,0.9230601092896172,0.9956551974099263,25.975414514541626,0.9305750350631136,0.9313350956820302,0.9305740770857049,0.9960569644214221,6.7453038692474365
LOGE,C-UMAP,5.0,False,lr,0.8767328230486126,0.009307662744414996,0.8764917463768048,0.876736214605067,0.9865136507469672,170.62626957893372,0.8948106591865358,0.8936695744627839,0.8947687970943785,0.9908746074061231,43.3088812828064
LOGE,C-UMAP,5.0,True,lr,0.8448499627446996,0.025285131595556724,0.8520016517203454,0.8449080973671137,0.9826179385821217,106.3325092792511,0.8835904628330996,0.8873214645028078,0.8835854068412208,0.9888275119223624,20.730530977249146
LOGE,C-UMAP,10.0,False,lr,0.9089015331120596,0.009613451892498482,0.9099124901756716,0.9089120715350223,0.9908252972247826,153.75336861610413,0.9116409537166901,0.9113316558335317,0.9115736976202092,0.9941811697264428,41.91014790534973
LOGE,C-UMAP,10.0,True,lr,0.8671146334304229,0.011732165372354556,0.8796492532825957,0.8671137605563836,0.9867764132939941,105.58391976356506,0.8870967741935484,0.8928159551854855,0.8871144359516453,0.9905547939229199,20.04180335998535
LOGE,C-UMAP,20.0,False,lr,0.9146140125087493,0.0050342191297235205,0.91618972443628,0.9146100347739692,0.9913816817681305,138.63844633102417,0.9200561009817672,0.9218768340791055,0.920014094432699,0.994824091646178,43.06753921508789
LOGE,C-UMAP,20.0,True,lr,0.876130416130416,0.012094756985592845,0.887138462694075,0.8761599602583209,0.9867730027683885,100.63203382492065,0.8955119214586256,0.9014773173397209,0.895543990892828,0.9912075117120824,18.991094827651978
LOGE,A-Full,,False,svm,0.9918819571451151,0.0036343753050945304,0.9920544463092495,0.991872826626925,0.9998628315299879,43.076998710632324,0.9908835904628331,0.9909831764027011,0.9908711443595165,0.9999669386044773,12.394039869308472
LOGE,A-Full,,True,svm,0.990981959403012,0.0041390310370248064,0.9912936349300786,0.9909687034277198,0.9999303488735316,58.92800998687744,0.9887798036465638,0.9891428650241164,0.9887678213259609,0.999973507700231,19.32813787460327
LOGE,B-PCA,5.0,False,svm,0.8057707331391543,0.005396998888038153,0.8093253184068965,0.8058022851465474,0.9808717530151032,30.70231294631958,0.8057503506311361,0.8081199626255078,0.8056269312083266,0.982248453966768,11.7773756980896
