geometry,pipeline,q,standardize,classifier,accuracy,acc_std,precision,recall,auc,runtime_s
BW,A-Full,,True,lr,0.9797784810126583,0.017184564158373408,0.9823232323232324,0.9795454545454547,0.9993145743145743,625.5988171100616
BW,B-PCA,5.0,False,lr,0.6363924050632911,0.01388083050598816,0.6555529319165684,0.6347402597402597,0.946190768869478,502.1430377960205
BW,B-PCA,5.0,True,lr,0.747626582278481,0.06122007000681364,0.7742857142857142,0.7474025974025975,0.9679969849538631,793.0809319019318
BW,B-PCA,10.0,False,lr,0.8030696202531648,0.04107243846047576,0.813370720188902,0.8019480519480519,0.9741983214145813,495.02662324905396
BW,B-PCA,10.0,True,lr,0.8637025316455696,0.03001154774277727,0.8875724780270235,0.8639610389610389,0.9908525953353997,737.1004343032837
BW,B-PCA,20.0,False,lr,0.8713291139240507,0.039013019655132576,0.8885294503476322,0.8701298701298702,0.9877209021738013,496.21483039855957
BW,B-PCA,20.0,True,lr,0.9418670886075949,0.036389322929473465,0.9481818181818182,0.9412337662337663,0.9958929932159724,677.4730432033539
BW,C-UMAP,5.0,False,lr,0.6693037974683544,0.050652686011941415,0.66720683357047,0.6681818181818182,0.9480626511942833,562.1511452198029
BW,C-UMAP,5.0,True,lr,0.7222151898734177,0.019659413757051627,0.7189354584809131,0.7220779220779222,0.9654900083356093,829.0278630256653
BW,C-UMAP,10.0,False,lr,0.6743037974683543,0.06184629292112211,0.6837027114299843,0.6714285714285715,0.9551948182452957,522.471330165863
BW,C-UMAP,10.0,True,lr,0.7374050632911392,0.018080008763059173,0.7595363727181909,0.7383116883116883,0.9665376834481358,707.6652266979218
BW,C-UMAP,20.0,False,lr,0.6617088607594936,0.04546841786243496,0.6772052694779966,0.6590909090909091,0.9555443086427797,656.4344804286957
BW,C-UMAP,20.0,True,lr,0.75,0.012337714360517674,0.7813915125278761,0.7503246753246753,0.9655465108695622,753.8631167411804
BW,A-Full,,False,svm,0.9672151898734176,0.01704119066080654,0.9706349206349205,0.9668831168831169,0.9990279507402796,481.83847546577454
BW,A-Full,,True,svm,0.9823101265822786,0.012921471618102932,0.9845959595959595,0.9818181818181818,0.9998917748917748,636.9814200401306
BW,B-PCA,5.0,False,svm,0.7802848101265824,0.03642673119721049,0.7991532205168569,0.7792207792207791,0.9761660413219596,540.1794402599335
BW,B-PCA,5.0,True,svm,0.7652215189873417,0.022640276461436598,0.7932239982239981,0.7642857142857142,0.9808248811396121,626.7077317237854
BW,B-PCA,10.0,False,svm,0.845981012658228,0.018396830119239226,0.8699540863177226,0.8451298701298701,0.9916860544754622,535.8812692165375
BW,B-PCA,10.0,True,svm,0.87126582278481,0.03010317141661736,0.8924905902178629,0.8714285714285716,0.9950741532354497,612.6373496055603
BW,B-PCA,20.0,False,svm,0.9192721518987341,0.02570906019904067,0.9313564213564213,0.9178571428571429,0.9968834506276624,552.915022611618
BW,B-PCA,20.0,True,svm,0.9343670886075948,0.02169289371103088,0.944040404040404,0.9350649350649352,0.9987117999960464,640.4404242038727
BW,C-UMAP,5.0,False,svm,0.6161075949367087,0.06105417070877096,0.6396251668711562,0.6152597402597403,0.9453876590802599,535.758097410202
